,freq,citizen,sex,unit,age,asyl_app,geo,year,applications
148,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FR,2014,58845.0
149,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HR,2014,380.0
150,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HU,2014,41215.0
151,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IE,2014,1440.0
152,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IS,2014,
153,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IT,2014,63655.0
154,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LI,2014,
155,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LT,2014,385.0
156,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LU,2014,1030.0
157,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LV,2014,365.0
158,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ME,2014,
159,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,MT,2014,1275.0
160,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NL,2014,21780.0
161,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NO,2014,10910.0
162,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PL,2014,5610.0
163,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PT,2014,440.0
164,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,RO,2014,1500.0
165,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SE,2014,74980.0
166,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SI,2014,355.0
167,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SK,2014,230.0
168,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,UK,2014,32120.0
169,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,AT,2014,
170,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BE,2014,
171,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BG,2014,
172,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CH,2014,
173,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CY,2014,
174,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CZ,2014,
175,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,DE,2014,
176,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,DK,2014,
177,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EE,2014,
178,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EL,2014,
179,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,ES,2014,
181,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,FI,2014,
182,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,FR,2014,
183,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,HR,2014,
184,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,HU,2014,
